"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.775997167E0,-2.350922012E1,-3.747851944E1,-5.883117676E1,7.360998715E1
1.786017167E0,-2.341781807E1,-3.751238632E1,-5.833032227E1,7.319835945E1
1.796038167E0,-2.342246628E1,-3.746614456E1,-5.866168213E1,7.344056689E1
1.806059167E0,-2.353951073E1,-3.748692322E1,-5.830499268E1,7.320416756E1
1.816079167E0,-2.352847099E1,-3.750238800E1,-5.857012939E1,7.341987544E1
1.826100167E0,-2.354965973E1,-3.742812729E1,-5.885760498E1,7.361840021E1
1.836121167E0,-2.358920288E1,-3.734813309E1,-5.820367432E1,7.306846954E1
1.846141167E0,-2.340868568E1,-3.751112366E1,-5.879089355E1,7.356235538E1
1.856162167E0,-2.351156235E1,-3.750387192E1,-5.859271240E1,7.343323443E1
1.866183167E0,-2.345432091E1,-3.745578766E1,-5.870629883E1,7.348109090E1
1.876203167E0,-2.356968880E1,-3.741403580E1,-5.915100098E1,7.385242867E1
1.886224167E0,-2.349691010E1,-3.741971588E1,-5.862017822E1,7.340752833E1
1.896245167E0,-2.360274696E1,-3.748723221E1,-5.875769043E1,7.358565368E1
1.906265167E0,-2.355074692E1,-3.758256531E1,-5.822186279E1,7.319065653E1
1.916286167E0,-2.339387512E1,-3.750043106E1,-5.887805176E1,7.362187652E1
1.926307167E0,-2.348991394E1,-3.741658020E1,-5.870281982E1,7.346970523E1
1.936327167E0,-2.349581909E1,-3.751059723E1,-5.849505615E1,7.335373210E1
1.946348167E0,-2.344639206E1,-3.745644379E1,-5.896612549E1,7.368665033E1
1.956369167E0,-2.333092499E1,-3.747504807E1,-5.848956299E1,7.327851163E1
1.966389167E0,-2.341853142E1,-3.749618149E1,-5.893426514E1,7.367251080E1
1.976410167E0,-2.348093987E1,-3.734624863E1,-5.894213867E1,7.362250019E1
1.986431167E0,-2.343589020E1,-3.743784332E1,-5.846313477E1,7.327189904E1
1.996451167E0,-2.349768066E1,-3.741782761E1,-5.889129639E1,7.362349903E1
2.006472167E0,-2.339272308E1,-3.746051788E1,-5.863665771E1,7.340822516E1
2.016493167E0,-2.344732285E1,-3.747659683E1,-5.891387939E1,7.365539657E1
2.026513167E0,-2.351257896E1,-3.760371399E1,-5.901794434E1,7.382410466E1
2.036534167E0,-2.330429459E1,-3.748473358E1,-5.872747803E1,7.346503980E1
2.046555167E0,-2.332684135E1,-3.749300766E1,-5.924176025E1,7.388811345E1
2.056575167E0,-2.346282005E1,-3.750807953E1,-5.839160156E1,7.325939590E1
2.066596167E0,-2.353303528E1,-3.742752838E1,-5.877697754E1,7.354832914E1
2.076617167E0,-2.342292404E1,-3.746272278E1,-5.849963379E1,7.330959093E1
2.086637167E0,-2.354246521E1,-3.750008011E1,-5.825927734E1,7.317545403E1
2.096658167E0,-2.346870232E1,-3.759227753E1,-5.903076172E1,7.381456596E1
2.106679167E0,-2.346262169E1,-3.752749252E1,-5.868072510E1,7.349989666E1
2.116699167E0,-2.352790260E1,-3.748254776E1,-5.898211670E1,7.373868508E1
2.126720167E0,-2.352676964E1,-3.755365753E1,-5.882916260E1,7.365226714E1
2.136741167E0,-2.355250168E1,-3.762581253E1,-5.888507080E1,7.374193968E1
2.146761167E0,-2.345176888E1,-3.754853058E1,-5.905364990E1,7.380522460E1
2.156782167E0,-2.345805168E1,-3.757270813E1,-5.861523438E1,7.346927443E1
2.166803167E0,-2.342736626E1,-3.760094070E1,-5.916778564E1,7.391548613E1
2.176823167E0,-2.347597313E1,-3.758623886E1,-5.887841797E1,7.369202649E1
2.186844167E0,-2.342673492E1,-3.759245682E1,-5.889447021E1,7.369235605E1
2.196865167E0,-2.342790604E1,-3.758048248E1,-5.914276123E1,7.388521943E1
2.206885167E0,-2.352288055E1,-3.767261124E1,-5.890264893E1,7.377041140E1
2.216906167E0,-2.338698006E1,-3.768943405E1,-5.919506836E1,7.396959100E1
2.226927167E0,-2.342792130E1,-3.757771683E1,-5.884545898E1,7.364604770E1
2.236946417E0,-2.341932487E1,-3.766608429E1,-5.927056885E1,7.402836629E1
2.246967417E0,-2.349692535E1,-3.758023071E1,-5.925634766E1,7.399793226E1
2.256988417E0,-2.349833679E1,-3.762959671E1,-5.887463379E1,7.371825340E1
2.267008417E0,-2.342844963E1,-3.751852798E1,-5.912152100E1,7.383689077E1
2.277029417E0,-2.353466034E1,-3.771425247E1,-5.873944092E1,7.366523601E1
2.287050417E0,-2.357243347E1,-3.762773514E1,-5.922052002E1,7.401740378E1
2.297070417E0,-2.355574036E1,-3.764842224E1,-5.915051270E1,7.396661242E1
2.307091417E0,-2.353798866E1,-3.772738266E1,-5.920843506E1,7.404749216E1
2.317112417E0,-2.342943001E1,-3.762420273E1,-5.916278076E1,7.392397073E1
2.327132417E0,-2.348112488E1,-3.761098099E1,-5.857202148E1,7.346176432E1
2.337153417E0,-2.351109695E1,-3.763491058E1,-5.921594238E1,7.399787839E1
