"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.059433417E0,-3.323719837E-3,3.564030863E-3,-1.621441450E-3,5.136000577E-3
2.069453417E0,4.554202314E-4,-4.700488411E-3,-1.501001185E-3,4.955300540E-3
2.079474417E0,9.012334049E-4,5.267989822E-3,-6.019179709E-4,5.378312343E-3
2.089494417E0,-8.349081036E-4,-4.616347607E-3,1.116186846E-3,4.822199690E-3
2.099515417E0,4.520174116E-6,3.910295200E-3,1.119116321E-3,4.067290292E-3
2.109535417E0,2.642566804E-3,-5.512231961E-3,-7.613201160E-4,6.160151688E-3
2.119556417E0,-1.216087374E-3,6.814741530E-3,-9.517362341E-4,6.987515472E-3
2.129576417E0,-1.246519387E-4,-1.023007836E-2,4.283855669E-4,1.023980252E-2
2.139597417E0,2.841432579E-4,4.728631116E-3,9.602308273E-5,4.738133605E-3
2.149617417E0,1.355284126E-3,-5.092338193E-3,-1.770751551E-4,5.272576121E-3
2.159638417E0,-1.989912475E-3,2.925906796E-3,-4.710881040E-4,3.569678730E-3
2.169658417E0,3.890222404E-3,-1.894414425E-3,8.029621094E-4,4.400839070E-3
2.179679417E0,1.874209382E-3,3.405102761E-4,1.049038023E-3,2.174646828E-3
2.189699417E0,-4.398988094E-3,3.576855874E-3,-1.969045959E-3,6.001844399E-3
2.199720417E0,1.093515428E-3,-4.655241035E-3,1.765771303E-3,5.097547781E-3
2.209740417E0,3.294494236E-3,6.062551402E-3,-7.212136406E-4,6.937461415E-3
2.219761417E0,-7.066386752E-4,-4.042280372E-3,1.879096963E-3,4.513355096E-3
2.229781417E0,1.292645466E-4,2.982186619E-3,1.360369381E-3,3.280358396E-3
2.239802417E0,6.027634256E-3,-4.753763787E-3,4.546283744E-4,7.690080092E-3
2.249822417E0,-2.670129761E-4,4.088281188E-3,-9.664893150E-4,4.209446591E-3
2.259843417E0,-3.757884726E-3,-3.308115993E-3,-3.233358730E-4,5.016958752E-3
2.269863417E0,3.465863876E-3,-1.685429597E-4,1.991437748E-4,3.475669343E-3
2.279884417E0,3.622724209E-3,-2.313719131E-3,-9.390909690E-4,4.399922586E-3
2.289904417E0,-3.543150844E-3,2.683056984E-3,-2.274196595E-3,4.992462602E-3
2.299924417E0,1.474777237E-3,-5.856368691E-3,-2.877449151E-4,6.046058160E-3
2.309945417E0,2.628988819E-3,7.111474406E-3,-1.928966958E-4,7.584316685E-3
2.319965417E0,-1.446446404E-3,-4.896186292E-3,-6.797225215E-4,5.150424265E-3
2.329986417E0,-5.540624261E-5,1.545704668E-3,-2.684120554E-4,1.569814577E-3
2.340006417E0,3.279936500E-3,-1.185899484E-3,-1.376553439E-3,3.749565361E-3
2.350027417E0,-4.073442426E-3,2.987890271E-3,-2.557332627E-4,5.058242874E-3
2.360047417E0,5.878885277E-4,-3.650571220E-3,1.237767283E-3,3.899275702E-3
2.370068417E0,1.697381493E-3,3.833584720E-3,1.803989988E-3,4.564192767E-3
2.380088417E0,1.229730435E-3,-1.529489178E-3,-2.586282790E-4,1.979510716E-3
2.390109417E0,-1.325535122E-4,-8.778554620E-4,4.926184192E-4,1.015319434E-3
2.400129417E0,1.418204978E-3,1.993298531E-3,5.123261362E-4,2.499404421E-3
2.410150417E0,1.257780707E-3,-1.510736416E-3,1.614228357E-3,2.543633231E-3
2.420170417E0,-1.136134728E-3,3.090939485E-3,-1.713391393E-3,3.712198686E-3
2.430191417E0,1.392905600E-3,-1.827356406E-3,-5.511390045E-4,2.362873599E-3
2.440211417E0,-1.391695580E-3,2.921858570E-3,-1.105875475E-3,3.420092784E-3
2.450232417E0,9.524750058E-4,-4.946339875E-3,-3.703879192E-4,5.050809243E-3
2.460252417E0,-5.700541660E-4,4.505751189E-3,1.100475900E-3,4.673093487E-3
2.470273417E0,2.151282970E-4,-7.910268381E-3,-4.495889880E-4,7.925954599E-3
2.480293417E0,1.146702096E-3,4.740811884E-3,-7.886094972E-4,4.940863078E-3
2.490314417E0,1.699826680E-3,-5.818076432E-3,-1.445005648E-3,6.231168866E-3
2.500334417E0,-7.144175470E-5,6.499431329E-4,-2.586702816E-3,2.668063241E-3
2.510355417E0,-8.365814574E-5,-3.718368476E-3,1.087977085E-3,3.875171861E-3
2.520375417E0,-1.089001540E-3,2.534733620E-3,-3.024591133E-4,2.775298253E-3
2.530395417E0,-4.808329977E-4,-3.508639988E-3,-6.044637412E-4,3.592649628E-3
2.540416417E0,2.486067824E-4,5.372343585E-4,-4.466739483E-5,5.936507933E-4
2.550436417E0,-1.404489274E-3,-9.084132034E-4,-1.123457681E-3,2.014934697E-3
2.560457417E0,-2.971468493E-4,-1.941534574E-4,1.817578450E-4,3.987828097E-4
2.570477417E0,1.860466320E-3,3.912730608E-5,9.070909582E-4,2.070188368E-3
2.580498417E0,-7.920421194E-4,-8.170789806E-4,3.480934538E-4,1.190007492E-3
2.590518417E0,6.262296811E-4,1.765921013E-3,7.720980793E-4,2.026518217E-3
2.600539417E0,4.201009870E-4,-2.490875777E-3,6.418693811E-4,2.606327546E-3
2.610559417E0,-2.403026447E-4,1.550722867E-3,1.013516448E-4,1.572500851E-3
2.620580417E0,1.823408529E-4,-4.474412650E-3,1.141349785E-4,4.479580733E-3
2.630600417E0,1.224370440E-3,2.685636515E-3,-1.050608931E-3,3.132970729E-3
2.640621417E0,5.141051952E-4,-3.721396439E-3,2.097513992E-3,4.302634141E-3
2.650641417E0,-2.111874986E-3,4.361422732E-3,-4.754394758E-4,4.869093027E-3
2.660662417E0,2.845865441E-3,-6.714663468E-3,-1.365467906E-3,7.419579382E-3
2.670682417E0,-9.343135171E-4,6.946624722E-3,-6.361003034E-5,7.009463818E-3
2.680703417E0,1.149610151E-3,-7.687978446E-3,5.079042166E-4,7.790030987E-3
2.690723417E0,1.470573945E-3,5.555234384E-3,-2.070850460E-3,6.108325336E-3
2.700744417E0,1.971781021E-3,-5.804745480E-3,2.034888603E-4,6.133873018E-3
2.710764417E0,-7.998838555E-4,2.599322237E-3,-5.031563342E-5,2.720077561E-3
2.720785417E0,9.093328845E-4,-1.124842092E-3,-1.149934717E-3,1.847838164E-3
2.730805417E0,2.011430915E-4,-1.511533046E-3,1.129233278E-4,1.529033149E-3
2.740826417E0,-1.022313139E-3,3.995883744E-3,3.584665246E-4,4.140133971E-3
2.750846417E0,-2.029363066E-3,-3.881522221E-3,6.389017217E-4,4.426366977E-3
2.760867417E0,4.628230818E-4,4.721287172E-3,5.374350585E-4,4.774263735E-3
2.770887417E0,2.974250820E-4,-4.836336244E-3,1.307757106E-3,5.018848333E-3
2.780907417E0,-8.088520262E-4,3.297490301E-3,4.954929464E-4,3.431209283E-3
2.790928417E0,1.723970054E-3,-2.716361545E-3,6.063329056E-4,3.273886434E-3
2.800947417E0,-4.310598597E-4,1.753487973E-3,9.695882909E-4,2.049544859E-3
2.810968417E0,9.403019212E-4,-4.197281785E-3,1.056800596E-3,4.429240295E-3
2.820988417E0,1.929399790E-3,2.724274062E-3,-3.054060508E-4,3.352241872E-3
2.831009417E0,-8.690125309E-3,6.436923053E-3,-2.423303667E-4,1.081716138E-2
2.841029417E0,1.007424109E-2,-1.867215708E-2,-2.215200104E-3,2.133182821E-2
2.851050417E0,-1.026484650E-2,3.083803877E-2,1.460025087E-3,3.253434158E-2
2.861070417E0,4.280807450E-3,-5.076920614E-2,-3.775216639E-3,5.108903860E-2
2.871091417E0,-3.459374653E-3,6.027607247E-2,1.578132622E-3,6.039588304E-2
2.881111417E0,4.213725217E-3,-5.885910615E-2,-3.202241380E-3,5.909656680E-2
2.891132417E0,-2.482796088E-3,4.865618423E-2,2.135415561E-3,4.876626436E-2
2.901152417E0,5.043829791E-3,-3.382430971E-2,-3.655590117E-4,3.420025993E-2
2.911173417E0,-2.601862419E-3,1.905477047E-2,5.050422624E-5,1.923165402E-2
2.921193417E0,6.165679079E-4,-9.051964618E-3,-6.933812983E-5,9.073203801E-3
2.931214417E0,1.399551751E-3,-4.228618345E-4,-2.281124704E-3,2.709444066E-3
2.941234417E0,-3.109180136E-3,9.117646143E-3,3.296866082E-3,1.018173847E-2
2.951255417E0,7.189381868E-3,-1.333182026E-2,-1.637588022E-3,1.523503651E-2
2.961275417E0,-5.987139884E-3,2.071429789E-2,3.069548868E-3,2.177958015E-2
2.971296417E0,6.034768187E-3,-2.741876617E-2,-3.641047981E-3,2.831014652E-2
2.981316417E0,-4.163806327E-3,3.544728085E-2,2.730564680E-3,3.579529280E-2
2.991337417E0,3.160448745E-3,-3.634520248E-2,-2.500985982E-3,3.656797930E-2
3.001357417E0,-2.825272270E-3,3.087804280E-2,2.941450104E-3,3.114623283E-2
