"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.377205583E0,2.517763734E-1,6.662642035E-1,9.784109699E0
3.387224583E0,2.516030217E-1,6.663392671E-1,9.784109114E0
3.397243583E0,2.516057809E-1,6.664049752E-1,9.784104436E0
3.407262583E0,2.514964928E-1,6.664604507E-1,9.784103267E0
3.417282583E0,2.515000559E-1,6.664679059E-1,9.784102682E0
3.427301583E0,2.514551785E-1,6.665719863E-1,9.784096835E0
3.437320583E0,2.515094480E-1,6.665188497E-1,9.784099174E0
3.447339583E0,2.515663853E-1,6.664543842E-1,9.784102097E0
3.457358583E0,2.515298584E-1,6.664182045E-1,9.784105605E0
3.467377583E0,2.514119457E-1,6.664146962E-1,9.784108529E0
3.477396583E0,2.513453605E-1,6.663738388E-1,9.784113207E0
3.487415583E0,2.512808767E-1,6.663353933E-1,9.784117300E0
3.497434583E0,2.512376256E-1,6.663182171E-1,9.784119639E0
3.507453583E0,2.512019027E-1,6.663162437E-1,9.784120808E0
3.517472583E0,2.512236471E-1,6.663823903E-1,9.784115546E0
3.527491583E0,2.512428881E-1,6.664171813E-1,9.784112622E0
3.537511583E0,2.512438017E-1,6.663772009E-1,9.784115546E0
3.547530583E0,2.512125008E-1,6.664108955E-1,9.784114376E0
3.557549583E0,2.512735494E-1,6.663783704E-1,9.784114961E0
3.567568583E0,2.512139992E-1,6.664001513E-1,9.784114961E0
3.577587583E0,2.512668799E-1,6.664272677E-1,9.784111453E0
3.587606583E0,2.512162284E-1,6.664271946E-1,9.784112622E0
3.597625583E0,2.512133779E-1,6.664601583E-1,9.784110868E0
3.607644583E0,2.510906777E-1,6.665446506E-1,9.784107944E0
3.617663583E0,2.510984253E-1,6.665013812E-1,9.784110868E0
3.627682583E0,2.510716560E-1,6.664568692E-1,9.784114376E0
3.637701583E0,2.512095772E-1,6.664755072E-1,9.784109699E0
3.647720583E0,2.511555636E-1,6.664410818E-1,9.784113792E0
3.657740583E0,2.511717713E-1,6.663726693E-1,9.784117885E0
3.667759583E0,2.511780571E-1,6.663274265E-1,9.784120808E0
3.677778583E0,2.511943379E-1,6.663666759E-1,9.784117300E0
3.687797583E0,2.512220574E-1,6.663787358E-1,9.784116130E0
3.697816583E0,2.512138347E-1,6.664646168E-1,9.784110283E0
3.707835583E0,2.512838734E-1,6.665678933E-1,9.784101512E0
3.717854583E0,2.511604606E-1,6.666746049E-1,9.784097419E0
3.727873583E0,2.512206686E-1,6.666801598E-1,9.784095665E0
3.737892583E0,2.512372418E-1,6.667509111E-1,9.784090403E0
3.747911625E0,2.513426196E-1,6.667074955E-1,9.784090403E0
3.757930625E0,2.513408107E-1,6.667295688E-1,9.784089233E0
3.767949625E0,2.513878077E-1,6.666528241E-1,9.784093326E0
3.777969625E0,2.514171716E-1,6.665927439E-1,9.784096250E0
3.787988625E0,2.514901887E-1,6.665534945E-1,9.784097419E0
3.798007625E0,2.514577367E-1,6.665680394E-1,9.784096835E0
3.808026625E0,2.514692119E-1,6.666251960E-1,9.784092742E0
3.818045625E0,2.514738531E-1,6.666338937E-1,9.784092157E0
3.828064625E0,2.513836963E-1,6.666163521E-1,9.784095665E0
3.838083625E0,2.514928017E-1,6.665166570E-1,9.784099758E0
3.848102625E0,2.515125543E-1,6.664768229E-1,9.784102097E0
3.858121625E0,2.516090334E-1,6.664348691E-1,9.784102097E0
3.868140625E0,2.516339937E-1,6.664578194E-1,9.784100343E0
3.878159625E0,2.516381964E-1,6.663530812E-1,9.784107360E0
3.888178625E0,2.515891711E-1,6.663275727E-1,9.784110283E0
3.898198625E0,2.515338784E-1,6.663125892E-1,9.784112622E0
3.908217625E0,2.514966938E-1,6.662892003E-1,9.784114961E0
3.918236625E0,2.514185969E-1,6.663225295E-1,9.784114961E0
3.928255625E0,2.513921565E-1,6.663706228E-1,9.784112037E0
3.938274625E0,2.513787627E-1,6.664855937E-1,9.784105021E0
3.948293625E0,2.514196202E-1,6.665341987E-1,9.784100343E0
3.958312625E0,2.514321551E-1,6.665765179E-1,9.784097419E0
3.968331625E0,2.513989539E-1,6.665439928E-1,9.784100343E0
3.978350625E0,2.514067380E-1,6.666227109E-1,9.784094496E0
3.988369625E0,2.514674029E-1,6.666350631E-1,9.784092157E0
3.998388625E0,2.515205760E-1,6.665583184E-1,9.784096250E0
4.008408625E0,2.516502928E-1,6.665065706E-1,9.784096250E0
4.018427625E0,2.516917532E-1,6.664434937E-1,9.784099758E0
4.028446625E0,2.516533809E-1,6.664587696E-1,9.784099758E0
4.038465625E0,2.516470038E-1,6.663801245E-1,9.784105021E0
