"Time t (s)","Angular Velocity x (rad/s)","Angular Velocity y (rad/s)","Angular Velocity z (rad/s)","Absolute Angular Velocity (rad/s)"
4.328000069E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.337999821E0,4.261053885E-3,2.130526942E-3,1.065263471E-3,4.881650258E-3
4.348999977E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
4.357999802E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
4.368000031E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
4.377999783E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
4.407999992E0,6.391580697E-3,2.130526942E-3,1.065263471E-3,6.821014020E-3
4.416999817E0,6.391580697E-3,2.130526942E-3,1.065263471E-3,6.821014020E-3
4.427000046E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
4.438000202E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.447000027E0,6.391580697E-3,3.195790349E-3,-1.065263471E-3,7.224968403E-3
4.456999779E0,5.326317681E-3,3.195790349E-3,-1.065263471E-3,6.302183865E-3
4.467000008E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.475999832E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
4.486000061E0,4.261053885E-3,1.065263471E-3,-1.065263471E-3,4.519530355E-3
4.497000217E0,5.326317681E-3,1.065263471E-3,-1.065263471E-3,5.535271621E-3
4.506999969E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.515999794E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.526999950E0,4.261053885E-3,1.065263471E-3,1.065263471E-3,4.519530355E-3
4.535999775E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
4.546000004E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
4.556000233E0,5.326317681E-3,3.195790349E-3,0.000000000E0,6.211500185E-3
4.565999985E0,5.326317681E-3,3.195790349E-3,0.000000000E0,6.211500185E-3
4.614999771E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
4.625000000E0,5.326317681E-3,1.065263471E-3,2.130526942E-3,5.834688696E-3
4.633999825E0,5.326317681E-3,2.130526942E-3,1.065263471E-3,5.834688696E-3
4.644999981E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
4.655000210E0,4.261053885E-3,2.130526942E-3,-1.065263471E-3,4.881650258E-3
4.664000034E0,4.261053885E-3,2.130526942E-3,-1.065263471E-3,4.881650258E-3
4.673999786E0,5.326317681E-3,1.065263471E-3,-1.065263471E-3,5.535271621E-3
4.684999943E0,5.326317681E-3,1.065263471E-3,-1.065263471E-3,5.535271621E-3
4.693999767E0,6.391580697E-3,1.065263471E-3,-1.065263471E-3,6.566725003E-3
4.703000069E0,7.456844234E-3,1.065263471E-3,-2.130526942E-3,7.828055807E-3
4.714000225E0,7.456844234E-3,1.065263471E-3,-1.065263471E-3,7.607502562E-3
4.723999977E0,6.391580697E-3,1.065263471E-3,-1.065263471E-3,6.566725003E-3
4.743000031E0,6.391580697E-3,3.195790349E-3,0.000000000E0,7.146004703E-3
4.752999783E0,4.261053885E-3,3.195790349E-3,-1.065263471E-3,5.431799057E-3
4.763000011E0,4.261053885E-3,2.130526942E-3,-1.065263471E-3,4.881650258E-3
4.772999763E0,4.261053885E-3,1.065263471E-3,-1.065263471E-3,4.519530355E-3
4.782999992E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
